# this file can have an arbitrary number of header lines (starting with #)
# below the header there should always be 3 columns: depth, vsmin, vsmax
# Vs priors (will be interpolated between depth levels)
# these priors are pretty loose
# below 80km depth, the values are from iasp91 plusminus 20%
# depth[km] Vsmin[km/s] Vsmax[km/s]
000.0		1.2     4.2
005.0		1.5     4.3
010.0		2.0     4.4
015.0		2.5 	4.6
020.0		2.7 	4.8
025.0		2.9 	4.9
030.0		3.0 	5.0
040.0		3.1 	5.1
050.0		3.2 	5.15
060.0		3.3 	5.2
070.0		3.4 	5.25
080.0		3.5 	5.3
090.0       3.55     5.35
100 3.59 5.39
110 3.6 5.4
120 3.6 5.4
120 3.6 5.4
130 3.6 5.4
140 3.6 5.4
150 3.61 5.41
160 3.61 5.41
170 3.61 5.41
180 3.61 5.41
190 3.61 5.41
200 3.62 5.42
210 3.62 5.42
210 3.62 5.42
220 3.64 5.44
230 3.66 5.46
240 3.67 5.47
250 3.69 5.49
260 3.71 5.51
270 3.73 5.53
280 3.74 5.54
290 3.76 5.56
300 3.78 5.58
310 3.8 5.6
320 3.81 5.61
330 3.83 5.63
340 3.85 5.65
350 3.87 5.67
360 3.88 5.68
370 3.9 5.7
380 3.92 5.72
390 3.94 5.74
400 3.95 5.75
410 3.97 5.77
410 4.17 5.97
420 4.19 5.99
430 4.21 6.01
440 4.23 6.03
450 4.25 6.05
460 4.28 6.08
470 4.3 6.1
480 4.32 6.12
490 4.34 6.14
500 4.36 6.16
510 4.38 6.18
520 4.4 6.2
530 4.42 6.22
540 4.45 6.25
550 4.47 6.27
560 4.49 6.29
570 4.51 6.31
580 4.53 6.33
590 4.55 6.35
600 4.57 6.37
610 4.59 6.39
620 4.62 6.42
630 4.64 6.44
640 4.66 6.46
650 4.68 6.48
660 4.7 6.5
660 5.05 6.85
670 5.08 6.88
680 5.1 6.9
690 5.13 6.93
700 5.15 6.95
710 5.18 6.98
720 5.21 7.01
730 5.23 7.03
740 5.26 7.06
750 5.28 7.08
760 5.31 7.11
760 5.31 7.11
770 5.32 7.12
780 5.32 7.12
790 5.33 7.13
800 5.34 7.14
900 5.41 7.21
1000 5.48 7.28
