# Conversion from Vs to Vp and density according to PREM (first two lines modified)
# Program will use a nearest neighbor interpolation for values outside the range
# Vs	Vp/Vs	rho
1.500   1.800   2.200
2.500   1.810   2.400
3.200	1.812	2.600
3.900	1.744	2.900
4.439	1.785	3.359
4.442	1.786	3.361
4.445	1.787	3.362
4.449	1.788	3.363
4.452	1.788	3.364
4.455	1.789	3.365
4.459	1.790	3.366
4.462	1.791	3.367
4.465	1.791	3.368
4.469	1.792	3.369
4.472	1.793	3.370
4.475	1.794	3.371
4.479	1.794	3.373
4.482	1.795	3.374
4.485	1.796	3.375
4.489	1.796	3.376
4.492	1.797	3.377
4.495	1.798	3.378
4.497	1.798	3.379
4.499	1.799	3.379
4.500	1.799	3.380
4.501	1.799	3.380
4.502	1.799	3.380
4.503	1.800	3.381
4.504	1.800	3.381
4.644	1.843	3.436
4.651	1.844	3.442
4.658	1.846	3.448
4.665	1.847	3.454
4.672	1.848	3.460
4.679	1.850	3.466
4.686	1.851	3.472
4.693	1.853	3.478
4.700	1.854	3.484
4.707	1.855	3.490
4.714	1.856	3.495
4.721	1.858	3.501
4.728	1.859	3.507
4.735	1.860	3.513
4.742	1.862	3.519
4.749	1.863	3.525
4.756	1.864	3.531
4.763	1.866	3.537
4.770	1.867	3.543
4.932	1.852	3.724
4.962	1.851	3.736
4.991	1.851	3.749
5.020	1.850	3.762
5.049	1.850	3.774
5.078	1.849	3.787
5.108	1.848	3.799
5.137	1.848	3.812
5.166	1.847	3.825
5.195	1.847	3.837
5.224	1.846	3.850
5.253	1.846	3.862
5.283	1.845	3.875
5.312	1.845	3.888
5.341	1.844	3.900
5.370	1.844	3.913
5.399	1.843	3.925
5.428	1.843	3.938
5.458	1.842	3.951
5.487	1.842	3.963
5.516	1.842	3.976
5.524	1.842	3.978
5.532	1.842	3.980
5.539	1.842	3.983
5.547	1.842	3.985
5.555	1.843	3.987
5.562	1.843	3.990
5.570	1.843	3.992
5.945	1.808	4.381
5.990	1.803	4.390
6.136	1.785	4.421
6.240	1.773	4.443
6.241	1.773	4.443
6.251	1.774	4.452
6.286	1.779	4.482
6.321	1.783	4.512
6.354	1.787	4.542
6.387	1.791	4.572
